location,count,date
20707,1,2014-01-07
20850,1,2014-01-07
21001,1,2014-01-07
21040,1,2014-01-07
21122,1,2014-01-07
21157,1,2014-01-07
21215,1,2014-01-07
21217,2,2014-01-07
21234,1,2014-01-07
21239,1,2014-01-07
21787,1,2014-01-07
20744,1,2014-01-08
20781,1,2014-01-08
21040,1,2014-01-08
21093,1,2014-01-08
21136,1,2014-01-08
21207,1,2014-01-08
21215,2,2014-01-08
21217,2,2014-01-08
21221,1,2014-01-08
21224,1,2014-01-08
21727,1,2014-01-08
21904,1,2014-01-08
21917,1,2014-01-08
21921,2,2014-01-08
20853,1,2014-01-09
20902,1,2014-01-09
21117,1,2014-01-09
21215,3,2014-01-09
21216,1,2014-01-09
21217,2,2014-01-09
21224,1,2014-01-09
21228,1,2014-01-09
21229,1,2014-01-09
21231,1,2014-01-09
21403,1,2014-01-09
21701,1,2014-01-09
21830,1,2014-01-09
20794,1,2014-01-10
21206,1,2014-01-10
21214,1,2014-01-10
21215,1,2014-01-10
21216,1,2014-01-10
21217,4,2014-01-10
21218,1,2014-01-10
21222,2,2014-01-10
21230,1,2014-01-10
21502,1,2014-01-10
21651,1,2014-01-10
21740,1,2014-01-10
21742,1,2014-01-10
21774,1,2014-01-10
21901,1,2014-01-10
20724,1,2014-01-11
20743,1,2014-01-11
21060,1,2014-01-11
21117,1,2014-01-11
21204,1,2014-01-11
21206,2,2014-01-11
21207,1,2014-01-11
21212,1,2014-01-11
21214,1,2014-01-11
21215,2,2014-01-11
21216,3,2014-01-11
21218,1,2014-01-11
21225,1,2014-01-11
21234,1,2014-01-11
21244,1,2014-01-11
21901,1,2014-01-11
20634,1,2014-01-12
20659,1,2014-01-12
20714,1,2014-01-12
20872,1,2014-01-12
21001,1,2014-01-12
21030,1,2014-01-12
21040,1,2014-01-12
21050,1,2014-01-12
21090,1,2014-01-12
21114,1,2014-01-12
21136,1,2014-01-12
21202,1,2014-01-12
21206,2,2014-01-12
21208,1,2014-01-12
21209,1,2014-01-12
21212,1,2014-01-12
21216,1,2014-01-12
21217,2,2014-01-12
21218,1,2014-01-12
21223,1,2014-01-12
21227,1,2014-01-12
21229,1,2014-01-12
21237,1,2014-01-12
21244,2,2014-01-12
21532,1,2014-01-12
21613,1,2014-01-12
20650,1,2014-01-13
20903,1,2014-01-13
21015,1,2014-01-13
21114,1,2014-01-13
21146,1,2014-01-13
21202,1,2014-01-13
21211,1,2014-01-13
21215,3,2014-01-13
21218,1,2014-01-13
21219,1,2014-01-13
21221,1,2014-01-13
21222,1,2014-01-13
21228,1,2014-01-13
21229,2,2014-01-13
21237,1,2014-01-13
21502,1,2014-01-13
21901,1,2014-01-13
21045,1,2014-01-14
21076,1,2014-01-14
21117,1,2014-01-14
21201,2,2014-01-14
21215,1,2014-01-14
21216,1,2014-01-14
21217,1,2014-01-14
21225,1,2014-01-14
21229,1,2014-01-14
21601,1,2014-01-14
21617,1,2014-01-14
21713,1,2014-01-14
20814,1,2014-01-15
20871,1,2014-01-15
21114,1,2014-01-15
21133,1,2014-01-15
21208,1,2014-01-15
21214,1,2014-01-15
21215,2,2014-01-15
21220,1,2014-01-15
21223,2,2014-01-15
21227,1,2014-01-15
21229,3,2014-01-15
21236,1,2014-01-15
21237,1,2014-01-15
21244,1,2014-01-15
21539,1,2014-01-15
21550,1,2014-01-15
21722,1,2014-01-15
21921,1,2014-01-15
20653,1,2014-01-16
20785,1,2014-01-16
20872,1,2014-01-16
21014,1,2014-01-16
21040,1,2014-01-16
21201,2,2014-01-16
21202,1,2014-01-16
21212,1,2014-01-16
21215,3,2014-01-16
21216,2,2014-01-16
21218,1,2014-01-16
21224,1,2014-01-16
21244,1,2014-01-16
21659,1,2014-01-16
21713,1,2014-01-16
21795,1,2014-01-16
21901,1,2014-01-16
21911,1,2014-01-16
20624,1,2014-01-17
20659,1,2014-01-17
20769,1,2014-01-17
20877,1,2014-01-17
20886,1,2014-01-17
20904,1,2014-01-17
20912,1,2014-01-17
21060,3,2014-01-17
21075,1,2014-01-17
21144,1,2014-01-17
21201,1,2014-01-17
21206,2,2014-01-17
21207,1,2014-01-17
21208,1,2014-01-17
21215,3,2014-01-17
21216,2,2014-01-17
21217,1,2014-01-17
21218,1,2014-01-17
21227,1,2014-01-17
21666,1,2014-01-17
20745,1,2014-01-18
20794,1,2014-01-18
21045,1,2014-01-18
21133,1,2014-01-18
21215,3,2014-01-18
21216,1,2014-01-18
21217,1,2014-01-18
21221,1,2014-01-18
21223,1,2014-01-18
21228,1,2014-01-18
21230,1,2014-01-18
21901,1,2014-01-18
21921,1,2014-01-18
20715,1,2014-01-19
20735,1,2014-01-19
20758,1,2014-01-19
20906,1,2014-01-19
21108,1,2014-01-19
21136,1,2014-01-19
21201,1,2014-01-19
21212,1,2014-01-19
21215,4,2014-01-19
21216,2,2014-01-19
21220,2,2014-01-19
21224,1,2014-01-19
21229,2,2014-01-19
21601,1,2014-01-19
21619,1,2014-01-19
21702,1,2014-01-19
21703,1,2014-01-19
21713,1,2014-01-19
21801,1,2014-01-19
20733,1,2014-01-20
21209,1,2014-01-20
21217,2,2014-01-20
21220,1,2014-01-20
21229,1,2014-01-20
21757,1,2014-01-20
21921,1,2014-01-20
20622,1,2014-01-21
20744,1,2014-01-21
20747,1,2014-01-21
20782,1,2014-01-21
20877,1,2014-01-21
20902,1,2014-01-21
21060,1,2014-01-21
21061,1,2014-01-21
21144,1,2014-01-21
21207,1,2014-01-21
21212,1,2014-01-21
21213,1,2014-01-21
21215,3,2014-01-21
21220,1,2014-01-21
21222,2,2014-01-21
21225,1,2014-01-21
21228,1,2014-01-21
21230,1,2014-01-21
21231,1,2014-01-21
21239,1,2014-01-21
21244,1,2014-01-21
21532,1,2014-01-21
21702,1,2014-01-21
21801,1,2014-01-21
20646,1,2014-01-22
20783,1,2014-01-22
21060,1,2014-01-22
21102,1,2014-01-22
21114,1,2014-01-22
21202,1,2014-01-22
21207,2,2014-01-22
21217,1,2014-01-22
21221,2,2014-01-22
21228,2,2014-01-22
21237,1,2014-01-22
21239,1,2014-01-22
21701,2,2014-01-22
21795,1,2014-01-22
21921,1,2014-01-22
20637,1,2014-01-23
20776,1,2014-01-23
21060,1,2014-01-23
21084,1,2014-01-23
21093,1,2014-01-23
21162,1,2014-01-23
21201,1,2014-01-23
21202,1,2014-01-23
21211,2,2014-01-23
21215,1,2014-01-23
21216,1,2014-01-23
21223,1,2014-01-23
21224,1,2014-01-23
21225,1,2014-01-23
21227,1,2014-01-23
21229,1,2014-01-23
21230,1,2014-01-23
21234,1,2014-01-23
21613,1,2014-01-23
21625,1,2014-01-23
21663,1,2014-01-23
21740,1,2014-01-23
20854,1,2014-01-24
20878,1,2014-01-24
20903,1,2014-01-24
21040,1,2014-01-24
21093,1,2014-01-24
21122,1,2014-01-24
21206,1,2014-01-24
21207,1,2014-01-24
21212,2,2014-01-24
21215,1,2014-01-24
21216,1,2014-01-24
21217,1,2014-01-24
21218,1,2014-01-24
21223,1,2014-01-24
21229,1,2014-01-24
21234,1,2014-01-24
21236,1,2014-01-24
21239,1,2014-01-24
20650,1,2014-01-25
20815,1,2014-01-25
20850,1,2014-01-25
20851,1,2014-01-25
20882,1,2014-01-25
21117,1,2014-01-25
21133,1,2014-01-25
21202,1,2014-01-25
21214,1,2014-01-25
21215,1,2014-01-25
21216,1,2014-01-25
21220,1,2014-01-25
21221,1,2014-01-25
21223,1,2014-01-25
21237,1,2014-01-25
21502,1,2014-01-25
21613,1,2014-01-25
21628,1,2014-01-25
21740,2,2014-01-25
20650,1,2014-01-26
20659,1,2014-01-26
20765,1,2014-01-26
20854,1,2014-01-26
20902,1,2014-01-26
20904,1,2014-01-26
21028,1,2014-01-26
21117,1,2014-01-26
21158,1,2014-01-26
21207,1,2014-01-26
21212,2,2014-01-26
21215,2,2014-01-26
21216,3,2014-01-26
21217,2,2014-01-26
21222,1,2014-01-26
21223,1,2014-01-26
21225,1,2014-01-26
21229,1,2014-01-26
21230,1,2014-01-26
21234,1,2014-01-26
21239,1,2014-01-26
21619,1,2014-01-26
21623,1,2014-01-26
21658,1,2014-01-26
21740,3,2014-01-26
21804,1,2014-01-26
20653,1,2014-01-27
20695,1,2014-01-27
20783,1,2014-01-27
20814,1,2014-01-27
20853,1,2014-01-27
20904,1,2014-01-27
20906,1,2014-01-27
21015,1,2014-01-27
21028,1,2014-01-27
21037,1,2014-01-27
21044,1,2014-01-27
21061,1,2014-01-27
21093,1,2014-01-27
21102,1,2014-01-27
21146,1,2014-01-27
21201,1,2014-01-27
21202,1,2014-01-27
21207,2,2014-01-27
21208,1,2014-01-27
21211,2,2014-01-27
21213,1,2014-01-27
21214,1,2014-01-27
21216,4,2014-01-27
21217,1,2014-01-27
21222,1,2014-01-27
21227,1,2014-01-27
21230,2,2014-01-27
21231,1,2014-01-27
21234,1,2014-01-27
21236,1,2014-01-27
21237,1,2014-01-27
21244,1,2014-01-27
21502,1,2014-01-27
21562,1,2014-01-27
21620,1,2014-01-27
21632,1,2014-01-27
21750,1,2014-01-27
21921,2,2014-01-27
20623,1,2014-01-28
20636,1,2014-01-28
20745,1,2014-01-28
20874,1,2014-01-28
20876,1,2014-01-28
20906,1,2014-01-28
21035,1,2014-01-28
21037,1,2014-01-28
21122,1,2014-01-28
21154,1,2014-01-28
21215,5,2014-01-28
21216,1,2014-01-28
21218,2,2014-01-28
21225,1,2014-01-28
21227,1,2014-01-28
21234,1,2014-01-28
21244,1,2014-01-28
21783,1,2014-01-28
20613,1,2014-01-29
20706,1,2014-01-29
20855,1,2014-01-29
21001,1,2014-01-29
21030,1,2014-01-29
21061,1,2014-01-29
21117,2,2014-01-29
21131,1,2014-01-29
21202,1,2014-01-29
21212,1,2014-01-29
21213,1,2014-01-29
21214,1,2014-01-29
21215,3,2014-01-29
21216,1,2014-01-29
21221,2,2014-01-29
21229,3,2014-01-29
21234,1,2014-01-29
21239,1,2014-01-29
21409,1,2014-01-29
21601,1,2014-01-29
21701,1,2014-01-29
21740,2,2014-01-29
21754,1,2014-01-29
20735,1,2014-01-30
20872,1,2014-01-30
20906,1,2014-01-30
21076,1,2014-01-30
21093,1,2014-01-30
21205,1,2014-01-30
21207,2,2014-01-30
21211,1,2014-01-30
21215,1,2014-01-30
21217,3,2014-01-30
21218,4,2014-01-30
21221,1,2014-01-30
21223,2,2014-01-30
21225,2,2014-01-30
21230,1,2014-01-30
21239,1,2014-01-30
21722,1,2014-01-30
21842,1,2014-01-30
21917,1,2014-01-30
20653,1,2014-01-31
20714,1,2014-01-31
20740,1,2014-01-31
20794,1,2014-01-31
20850,1,2014-01-31
20902,1,2014-01-31
21060,1,2014-01-31
21120,1,2014-01-31
21140,1,2014-01-31
21158,1,2014-01-31
21201,1,2014-01-31
21202,1,2014-01-31
21204,1,2014-01-31
21211,2,2014-01-31
21212,1,2014-01-31
21215,2,2014-01-31
21222,1,2014-01-31
21223,1,2014-01-31
21229,4,2014-01-31
21230,1,2014-01-31
21231,1,2014-01-31
21244,1,2014-01-31
21409,1,2014-01-31
21620,1,2014-01-31
21740,1,2014-01-31
21901,1,2014-01-31
20601,1,2014-02-01
20602,1,2014-02-01
20646,1,2014-02-01
20723,1,2014-02-01
20748,1,2014-02-01
20770,1,2014-02-01
20874,1,2014-02-01
20902,1,2014-02-01
21117,1,2014-02-01
21122,1,2014-02-01
21202,1,2014-02-01
21204,1,2014-02-01
21206,1,2014-02-01
21207,1,2014-02-01
21213,1,2014-02-01
21215,5,2014-02-01
21216,1,2014-02-01
21217,1,2014-02-01
21218,2,2014-02-01
21220,1,2014-02-01
21222,1,2014-02-01
21223,3,2014-02-01
21224,1,2014-02-01
21227,1,2014-02-01
21234,2,2014-02-01
21239,1,2014-02-01
21403,1,2014-02-01
21631,1,2014-02-01
20601,1,2014-02-02
20639,1,2014-02-02
20653,2,2014-02-02
20852,1,2014-02-02
20904,1,2014-02-02
20912,1,2014-02-02
21012,1,2014-02-02
21030,1,2014-02-02
21060,1,2014-02-02
21202,1,2014-02-02
21205,1,2014-02-02
21207,1,2014-02-02
21212,1,2014-02-02
21213,2,2014-02-02
21214,1,2014-02-02
21215,2,2014-02-02
21216,2,2014-02-02
21217,2,2014-02-02
21218,1,2014-02-02
21221,1,2014-02-02
21222,1,2014-02-02
21223,1,2014-02-02
21224,2,2014-02-02
21225,3,2014-02-02
21229,1,2014-02-02
21234,1,2014-02-02
21237,1,2014-02-02
21758,1,2014-02-02
21904,1,2014-02-02
21921,2,2014-02-02
20706,1,2014-02-03
20735,1,2014-02-03
20748,1,2014-02-03
20850,1,2014-02-03
21040,1,2014-02-03
21042,1,2014-02-03
21078,1,2014-02-03
21144,1,2014-02-03
21157,1,2014-02-03
21161,1,2014-02-03
21202,1,2014-02-03
21206,2,2014-02-03
21207,1,2014-02-03
21213,2,2014-02-03
21215,4,2014-02-03
21216,1,2014-02-03
21217,4,2014-02-03
21221,2,2014-02-03
21223,2,2014-02-03
21224,1,2014-02-03
21225,1,2014-02-03
21227,1,2014-02-03
21228,1,2014-02-03
21229,2,2014-02-03
21231,1,2014-02-03
21236,1,2014-02-03
20639,1,2014-02-04
20653,1,2014-02-04
20712,1,2014-02-04
20904,1,2014-02-04
20910,1,2014-02-04
21037,1,2014-02-04
21054,1,2014-02-04
21117,1,2014-02-04
21202,1,2014-02-04
21206,2,2014-02-04
21208,1,2014-02-04
21215,1,2014-02-04
21217,1,2014-02-04
21222,1,2014-02-04
21223,1,2014-02-04
21229,2,2014-02-04
21234,2,2014-02-04
21793,1,2014-02-04
21837,1,2014-02-04
21912,1,2014-02-04
20650,1,2014-02-05
20794,1,2014-02-05
21060,2,2014-02-05
21122,1,2014-02-05
21144,2,2014-02-05
21201,1,2014-02-05
21202,1,2014-02-05
21204,1,2014-02-05
21205,1,2014-02-05
21206,1,2014-02-05
21207,2,2014-02-05
21211,1,2014-02-05
21213,1,2014-02-05
21215,1,2014-02-05
21216,2,2014-02-05
21218,2,2014-02-05
21220,1,2014-02-05
21223,1,2014-02-05
21225,2,2014-02-05
21226,1,2014-02-05
21227,1,2014-02-05
21229,4,2014-02-05
21231,1,2014-02-05
21237,1,2014-02-05
21239,1,2014-02-05
21244,1,2014-02-05
21555,1,2014-02-05
21702,1,2014-02-05
21703,1,2014-02-05
21774,1,2014-02-05
21901,2,2014-02-05
20613,1,2014-02-06
20659,1,2014-02-06
20782,1,2014-02-06
20855,1,2014-02-06
20877,1,2014-02-06
21030,1,2014-02-06
21060,1,2014-02-06
21061,1,2014-02-06
21122,1,2014-02-06
21128,1,2014-02-06
21133,2,2014-02-06
21201,2,2014-02-06
21202,1,2014-02-06
21206,2,2014-02-06
21207,1,2014-02-06
21213,1,2014-02-06
21214,1,2014-02-06
21216,2,2014-02-06
21217,1,2014-02-06
21218,2,2014-02-06
21221,2,2014-02-06
21222,1,2014-02-06
21223,1,2014-02-06
21225,2,2014-02-06
21227,1,2014-02-06
21229,2,2014-02-06
21230,1,2014-02-06
21619,1,2014-02-06
20640,1,2014-02-07
20653,1,2014-02-07
20692,1,2014-02-07
20872,1,2014-02-07
20877,1,2014-02-07
21047,1,2014-02-07
21201,1,2014-02-07
21202,2,2014-02-07
21206,1,2014-02-07
21211,1,2014-02-07
21213,1,2014-02-07
21214,1,2014-02-07
21215,3,2014-02-07
21222,1,2014-02-07
21225,1,2014-02-07
21227,1,2014-02-07
21228,1,2014-02-07
21229,1,2014-02-07
21234,1,2014-02-07
21239,1,2014-02-07
21244,1,2014-02-07
21755,1,2014-02-07
20603,1,2014-02-08
20650,1,2014-02-08
20657,1,2014-02-08
20659,1,2014-02-08
20720,1,2014-02-08
20782,1,2014-02-08
20874,1,2014-02-08
21061,1,2014-02-08
21157,1,2014-02-08
21201,1,2014-02-08
21202,1,2014-02-08
21207,3,2014-02-08
21211,1,2014-02-08
21215,3,2014-02-08
21216,1,2014-02-08
21217,1,2014-02-08
21222,1,2014-02-08
21223,1,2014-02-08
21224,1,2014-02-08
21225,2,2014-02-08
21227,1,2014-02-08
21231,1,2014-02-08
21234,1,2014-02-08
21239,2,2014-02-08
21244,1,2014-02-08
21521,2,2014-02-08
21620,1,2014-02-08
21740,1,2014-02-08
21766,1,2014-02-08
21903,1,2014-02-08
20646,1,2014-02-09
20653,1,2014-02-09
20774,1,2014-02-09
20877,1,2014-02-09
21090,1,2014-02-09
21136,1,2014-02-09
21163,1,2014-02-09
21205,1,2014-02-09
21208,1,2014-02-09
21209,1,2014-02-09
21211,1,2014-02-09
21212,1,2014-02-09
21215,3,2014-02-09
21218,3,2014-02-09
21220,4,2014-02-09
21226,1,2014-02-09
21227,2,2014-02-09
21228,1,2014-02-09
21229,1,2014-02-09
21230,3,2014-02-09
21601,1,2014-02-09
21613,2,2014-02-09
21623,1,2014-02-09
21804,1,2014-02-09
20707,1,2014-02-10
20721,1,2014-02-10
20882,1,2014-02-10
21035,1,2014-02-10
21050,1,2014-02-10
21157,1,2014-02-10
21201,2,2014-02-10
21215,5,2014-02-10
21218,2,2014-02-10
21221,1,2014-02-10
21223,2,2014-02-10
21229,1,2014-02-10
21230,1,2014-02-10
21239,1,2014-02-10
21403,2,2014-02-10
21738,1,2014-02-10
21921,1,2014-02-10
20711,1,2014-02-11
20714,1,2014-02-11
20876,1,2014-02-11
21001,1,2014-02-11
21029,1,2014-02-11
21042,1,2014-02-11
21144,1,2014-02-11
21157,2,2014-02-11
21201,1,2014-02-11
21208,1,2014-02-11
21209,1,2014-02-11
21212,1,2014-02-11
21213,1,2014-02-11
21215,2,2014-02-11
21217,1,2014-02-11
21218,2,2014-02-11
21220,2,2014-02-11
21221,1,2014-02-11
21222,1,2014-02-11
21223,2,2014-02-11
21224,1,2014-02-11
21225,1,2014-02-11
21229,1,2014-02-11
21236,1,2014-02-11
21244,1,2014-02-11
21601,1,2014-02-11
21629,1,2014-02-11
21632,1,2014-02-11
21740,1,2014-02-11
21784,1,2014-02-11
21813,1,2014-02-11
21901,2,2014-02-11
21921,1,2014-02-11
20744,1,2014-02-12
20772,1,2014-02-12
20906,1,2014-02-12
21090,1,2014-02-12
21120,1,2014-02-12
21122,1,2014-02-12
21215,1,2014-02-12
21218,1,2014-02-12
21222,2,2014-02-12
21223,1,2014-02-12
21224,1,2014-02-12
21229,2,2014-02-12
21234,1,2014-02-12
21239,1,2014-02-12
21244,1,2014-02-12
21561,1,2014-02-12
21617,1,2014-02-12
21738,1,2014-02-12
21740,1,2014-02-12
21784,1,2014-02-12
21921,1,2014-02-12
20616,1,2014-02-13
20733,1,2014-02-13
20906,1,2014-02-13
21028,1,2014-02-13
21045,1,2014-02-13
21128,1,2014-02-13
21201,1,2014-02-13
21206,1,2014-02-13
21211,3,2014-02-13
21212,1,2014-02-13
21213,2,2014-02-13
21214,1,2014-02-13
21215,3,2014-02-13
21216,2,2014-02-13
21217,2,2014-02-13
21218,2,2014-02-13
21221,1,2014-02-13
21222,2,2014-02-13
21223,1,2014-02-13
21224,1,2014-02-13
21229,1,2014-02-13
21231,1,2014-02-13
21234,2,2014-02-13
21239,1,2014-02-13
21244,1,2014-02-13
21401,1,2014-02-13
21502,1,2014-02-13
21617,1,2014-02-13
21632,2,2014-02-13
21771,1,2014-02-13
21788,1,2014-02-13
21875,1,2014-02-13
21901,1,2014-02-13
20659,1,2014-02-14
20764,1,2014-02-14
20877,1,2014-02-14
21012,1,2014-02-14
21040,1,2014-02-14
21117,1,2014-02-14
21158,1,2014-02-14
21201,1,2014-02-14
21215,1,2014-02-14
21217,1,2014-02-14
21218,1,2014-02-14
21220,1,2014-02-14
21221,1,2014-02-14
21222,2,2014-02-14
21223,1,2014-02-14
21225,1,2014-02-14
21229,4,2014-02-14
21234,2,2014-02-14
21239,1,2014-02-14
21702,1,2014-02-14
21740,1,2014-02-14
21770,1,2014-02-14
21801,1,2014-02-14
21875,1,2014-02-14
21901,1,2014-02-14
21921,1,2014-02-14
20657,1,2014-02-15
20706,1,2014-02-15
20732,1,2014-02-15
20772,1,2014-02-15
20878,1,2014-02-15
21014,1,2014-02-15
21043,1,2014-02-15
21093,1,2014-02-15
21122,1,2014-02-15
21201,1,2014-02-15
21202,2,2014-02-15
21206,1,2014-02-15
21207,1,2014-02-15
21213,3,2014-02-15
21215,1,2014-02-15
21217,3,2014-02-15
21218,1,2014-02-15
21220,1,2014-02-15
21221,1,2014-02-15
21222,1,2014-02-15
21225,1,2014-02-15
21227,1,2014-02-15
21230,1,2014-02-15
21237,1,2014-02-15
21620,1,2014-02-15
21757,1,2014-02-15
21921,2,2014-02-15
20653,1,2014-02-16
20784,1,2014-02-16
20832,1,2014-02-16
20861,1,2014-02-16
20879,1,2014-02-16
20904,1,2014-02-16
21037,1,2014-02-16
21102,1,2014-02-16
21114,1,2014-02-16
21133,1,2014-02-16
21157,1,2014-02-16
21201,1,2014-02-16
21207,2,2014-02-16
21212,3,2014-02-16
21214,1,2014-02-16
21215,4,2014-02-16
21216,2,2014-02-16
21219,1,2014-02-16
21225,2,2014-02-16
21229,3,2014-02-16
21234,1,2014-02-16
21236,1,2014-02-16
21239,1,2014-02-16
21562,1,2014-02-16
21666,2,2014-02-16
21702,1,2014-02-16
21784,1,2014-02-16
20659,1,2014-02-17
20779,1,2014-02-17
20785,1,2014-02-17
20901,1,2014-02-17
20904,1,2014-02-17
21030,1,2014-02-17
21050,1,2014-02-17
21076,1,2014-02-17
21136,1,2014-02-17
21144,1,2014-02-17
21207,1,2014-02-17
21212,1,2014-02-17
21214,1,2014-02-17
21215,3,2014-02-17
21218,2,2014-02-17
21220,1,2014-02-17
21221,4,2014-02-17
21223,3,2014-02-17
21227,2,2014-02-17
21229,1,2014-02-17
21231,1,2014-02-17
21244,1,2014-02-17
21545,1,2014-02-17
21613,1,2014-02-17
21740,1,2014-02-17
21787,1,2014-02-17
20708,1,2014-02-18
20850,1,2014-02-18
20852,1,2014-02-18
20853,1,2014-02-18
20878,1,2014-02-18
21014,1,2014-02-18
21061,1,2014-02-18
21122,1,2014-02-18
21202,1,2014-02-18
21206,1,2014-02-18
21209,1,2014-02-18
21215,2,2014-02-18
21218,1,2014-02-18
21222,1,2014-02-18
21226,1,2014-02-18
21229,2,2014-02-18
21230,1,2014-02-18
21921,1,2014-02-18
20616,1,2014-02-19
20832,1,2014-02-19
20851,1,2014-02-19
20872,1,2014-02-19
20910,1,2014-02-19
21060,2,2014-02-19
21108,2,2014-02-19
21136,1,2014-02-19
21205,1,2014-02-19
21207,1,2014-02-19
21211,1,2014-02-19
21212,2,2014-02-19
21215,2,2014-02-19
21218,2,2014-02-19
21222,1,2014-02-19
21225,1,2014-02-19
21229,1,2014-02-19
21787,1,2014-02-19
20707,1,2014-02-20
20711,1,2014-02-20
20744,1,2014-02-20
21158,1,2014-02-20
21201,2,2014-02-20
21206,1,2014-02-20
21207,1,2014-02-20
21209,1,2014-02-20
21211,1,2014-02-20
21215,2,2014-02-20
21225,1,2014-02-20
21229,2,2014-02-20
21237,1,2014-02-20
21502,2,2014-02-20
21740,1,2014-02-20
20634,1,2014-02-21
20737,1,2014-02-21
20874,2,2014-02-21
21202,1,2014-02-21
21206,1,2014-02-21
21207,2,2014-02-21
21216,1,2014-02-21
21217,1,2014-02-21
21218,2,2014-02-21
21220,1,2014-02-21
21221,1,2014-02-21
21225,1,2014-02-21
21227,2,2014-02-21
21629,1,2014-02-21
20602,1,2014-02-22
20852,1,2014-02-22
20853,1,2014-02-22
21001,1,2014-02-22
21104,1,2014-02-22
21122,1,2014-02-22
21202,1,2014-02-22
21204,1,2014-02-22
21205,1,2014-02-22
21207,1,2014-02-22
21214,1,2014-02-22
21215,4,2014-02-22
21217,1,2014-02-22
21218,1,2014-02-22
21220,1,2014-02-22
21224,1,2014-02-22
21225,1,2014-02-22
21226,2,2014-02-22
21601,1,2014-02-22
21758,1,2014-02-22
21771,1,2014-02-22
21798,1,2014-02-22
21811,1,2014-02-22
20613,1,2014-02-23
20634,1,2014-02-23
20735,1,2014-02-23
20736,1,2014-02-23
21001,1,2014-02-23
21050,1,2014-02-23
21108,1,2014-02-23
21122,1,2014-02-23
21133,1,2014-02-23
21144,1,2014-02-23
21201,1,2014-02-23
21202,1,2014-02-23
21205,2,2014-02-23
21207,1,2014-02-23
21211,1,2014-02-23
21215,2,2014-02-23
21217,1,2014-02-23
21218,1,2014-02-23
21221,1,2014-02-23
21225,1,2014-02-23
21229,3,2014-02-23
21234,1,2014-02-23
21239,1,2014-02-23
21403,1,2014-02-23
21532,1,2014-02-23
21619,1,2014-02-23
21666,1,2014-02-23
21740,1,2014-02-23
21801,1,2014-02-23
20653,1,2014-02-24
20678,1,2014-02-24
20852,1,2014-02-24
20878,1,2014-02-24
21009,1,2014-02-24
21061,2,2014-02-24
21133,1,2014-02-24
21202,1,2014-02-24
21205,1,2014-02-24
21207,1,2014-02-24
21216,1,2014-02-24
21217,1,2014-02-24
21220,3,2014-02-24
21230,1,2014-02-24
21234,1,2014-02-24
21236,1,2014-02-24
21239,1,2014-02-24
21629,1,2014-02-24
21701,1,2014-02-24
21702,1,2014-02-24
21742,1,2014-02-24
20667,1,2014-02-25
20745,1,2014-02-25
20746,1,2014-02-25
20772,1,2014-02-25
20882,1,2014-02-25
21048,1,2014-02-25
21060,1,2014-02-25
21201,1,2014-02-25
